timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710274628298,41,/exercise/get-workouts,200,OK,Test Thread Group 1-1,text,true,,524,354,2,2,http://172.167.242.26/exercise/get-workouts,41,0,12
1710274628340,26, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,561,364,3,3,http://172.167.242.26/notifications/get-notifications,26,0,0
1710274628366,25,/logs/fetch-all-habits,200,OK,Test Thread Group 1-1,text,true,,410,354,3,3,http://172.167.242.26/logs/fetch-all-habits,25,0,0
1710274628392,24, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,561,364,4,4,http://172.167.242.26/notifications/get-notifications,24,0,0
1710274628336,91, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-2,text,true,,1653,445,4,4,http://172.167.242.26/dashboard/get-workout-historic-data,91,0,10
1710274628429,25,/logs/get-log-ids,200,OK,Test Thread Group 1-2,text,true,,2731,349,5,5,http://172.167.242.26/logs/get-log-ids,25,0,0
1710274628396,36, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-3,text,true,,2731,370,4,4,http://172.167.242.26/exercise/get-workout-ids/pull,36,0,9
1710274628417,26,/logs/get-log-ids,200,OK,Test Thread Group 1-1,text,true,,2731,349,4,4,http://172.167.242.26/logs/get-log-ids,26,0,0
1710274628452,43,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-4,text,false,,355,440,5,5,http://172.167.242.26/dashboard/get-user-report-data,43,0,10
1710274628473,25,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-2,text,true,,624,376,5,5,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50ec0,25,0,0
1710274628473,27,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-3,text,true,,1102,392,6,6,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c5125e,27,0,0
1710274628474,31,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-1,text,true,,624,376,6,6,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50e99,31,0,0
1710274628496,23,/logs/fetch-all-habits,200,OK,Test Thread Group 1-4,text,true,,410,354,6,6,http://172.167.242.26/logs/fetch-all-habits,23,0,0
1710274628498,30,/exercise/get-workouts,200,OK,Test Thread Group 1-2,text,true,,524,354,6,6,http://172.167.242.26/exercise/get-workouts,29,0,0
1710274628501,27, /logs/get-daily-log,200,OK,Test Thread Group 1-3,text,true,,621,359,6,6,http://172.167.242.26/logs/get-daily-log,26,0,0
1710274628506,24,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-1,text,false,,355,440,6,6,http://172.167.242.26/dashboard/get-user-report-data,24,0,0
1710274628506,32, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-5,text,true,,2731,368,6,6,http://172.167.242.26/exercise/get-workout-ids/pull,32,0,9
1710274628520,27,/exercise/get-workouts,200,OK,Test Thread Group 1-4,text,true,,524,354,6,6,http://172.167.242.26/exercise/get-workouts,27,0,0
1710274628528,23, /logs/get-daily-log,200,OK,Test Thread Group 1-3,text,true,,621,359,7,7,http://172.167.242.26/logs/get-daily-log,23,0,0
