timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.71028E+12,238,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-43,text,FALSE,,355,446,73,73,http://172.167.242.26/dashboard/get-user-report-data,238,0,9
1.71028E+12,243,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-3,text,FALSE,,355,446,74,74,http://172.167.242.26/dashboard/get-user-report-data,243,0,9
1.71028E+12,246,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-36,text,FALSE,,355,448,74,74,http://172.167.242.26/dashboard/get-user-report-data,246,0,8
1.71028E+12,246,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-45,text,FALSE,,355,453,75,75,http://172.167.242.26/dashboard/get-user-report-data,246,0,8
1.71028E+12,250,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-30,text,FALSE,,355,446,76,76,http://172.167.242.26/dashboard/get-user-report-data,250,0,8
1.71028E+12,257,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-9,text,FALSE,,355,446,77,77,http://172.167.242.26/dashboard/get-user-report-data,257,0,9
1.71028E+12,281, /logs/get-daily-log,200,OK,Test Thread Group 1-20,text,TRUE,,622,351,77,77,http://172.167.242.26/logs/get-daily-log,281,0,8
1.71028E+12,259,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-11,text,FALSE,,355,444,78,78,http://172.167.242.26/dashboard/get-user-report-data,259,0,10
1.71028E+12,259, /notifications/get-notifications,200,OK,Test Thread Group 1-49,text,TRUE,,561,362,79,79,http://172.167.242.26/notifications/get-notifications,259,0,9
1.71028E+12,257,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-38,text,FALSE,,355,442,80,80,http://172.167.242.26/dashboard/get-user-report-data,257,0,9
1.71028E+12,256,/logs/fetch-all-habits,200,OK,Test Thread Group 1-46,text,TRUE,,410,354,80,80,http://172.167.242.26/logs/fetch-all-habits,256,0,8
1.71028E+12,310,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-41,text,FALSE,,355,440,80,80,http://172.167.242.26/dashboard/get-user-report-data,310,0,9
1.71028E+12,267, /logs/get-daily-log,200,OK,Test Thread Group 1-27,text,TRUE,,623,351,81,81,http://172.167.242.26/logs/get-daily-log,266,0,9
1.71028E+12,267,/logs/fetch-all-habits,200,OK,Test Thread Group 1-51,text,TRUE,,410,358,81,81,http://172.167.242.26/logs/fetch-all-habits,267,0,9
1.71028E+12,265,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-47,text,FALSE,,355,450,82,82,http://172.167.242.26/dashboard/get-user-report-data,265,0,9
1.71028E+12,271,/exercise/get-workouts,200,OK,Test Thread Group 1-54,text,TRUE,,524,362,84,84,http://172.167.242.26/exercise/get-workouts,270,0,8
1.71028E+12,267, /notifications/get-notifications,200,OK,Test Thread Group 1-56,text,TRUE,,561,372,84,84,http://172.167.242.26/notifications/get-notifications,267,0,9
1.71028E+12,278,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-16,text,FALSE,,355,448,85,85,http://172.167.242.26/dashboard/get-user-report-data,278,0,9
1.71028E+12,256, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-50,text,TRUE,,2731,368,79,79,http://172.167.242.26/exercise/get-workout-ids/pull,256,0,9
1.71028E+12,215, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-2,text,TRUE,,2731,362,70,70,http://172.167.242.26/exercise/get-workout-ids/pull,215,0,8
1.71028E+12,253,/logs/get-log-ids,200,OK,Test Thread Group 1-31,text,TRUE,,2731,353,78,78,http://172.167.242.26/logs/get-log-ids,253,0,10
1.71028E+12,227,/logs/get-log-ids,200,OK,Test Thread Group 1-15,text,TRUE,,2731,357,72,72,http://172.167.242.26/logs/get-log-ids,227,0,8
1.71028E+12,266, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-6,text,TRUE,,2731,372,82,82,http://172.167.242.26/exercise/get-workout-ids/pull,266,0,9
1.71028E+12,270,/logs/get-log-ids,200,OK,Test Thread Group 1-17,text,TRUE,,2731,347,81,81,http://172.167.242.26/logs/get-log-ids,270,0,8
1.71028E+12,268, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-7,text,TRUE,,2731,362,81,81,http://172.167.242.26/exercise/get-workout-ids/pull,267,0,11
1.71028E+12,295,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-57,text,FALSE,,355,438,88,88,http://172.167.242.26/dashboard/get-user-report-data,295,0,11
1.71028E+12,240, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-1,text,TRUE,,2731,362,71,71,http://172.167.242.26/exercise/get-workout-ids/pull,240,0,14
1.71028E+12,267, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-26,text,TRUE,,2731,372,82,82,http://172.167.242.26/exercise/get-workout-ids/pull,267,0,8
1.71028E+12,281, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-37,text,TRUE,,2731,360,87,87,http://172.167.242.26/exercise/get-workout-ids/pull,281,0,9
1.71028E+12,273,/logs/get-log-ids,200,OK,Test Thread Group 1-52,text,TRUE,,2731,357,82,82,http://172.167.242.26/logs/get-log-ids,272,0,9
1.71028E+12,242, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-5,text,TRUE,,2731,375,75,75,http://172.167.242.26/exercise/get-workout-ids/pull,242,0,8
1.71028E+12,253,/logs/get-log-ids,200,OK,Test Thread Group 1-29,text,TRUE,,2731,347,80,80,http://172.167.242.26/logs/get-log-ids,253,0,8
1.71028E+12,351, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-10,text,TRUE,,2731,360,86,86,http://172.167.242.26/exercise/get-workout-ids/pull,351,0,8
