timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712066892845,2790, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-1,text,true,,2728,410,1,1,http://exercise.ambitiouscoast-3518c517.uksouth.azurecontainerapps.io/exercise/get-workout-ids/pull,2789,0,150
1712066895841,43,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-1,text,true,,1102,432,1,1,http://exercise.ambitiouscoast-3518c517.uksouth.azurecontainerapps.io/exercise/get-workout-by-id/660553996f4041747c759b72,43,0,0
1712066895888,3846,/logs/get-log-ids,200,OK,Test Thread Group 1-1,text,true,,2890,389,1,1,http://logs.lemoncliff-7145084d.uksouth.azurecontainerapps.io/logs/get-log-ids,3846,0,44
1712066899797,41,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-1,text,true,,620,416,1,1,http://logs.lemoncliff-7145084d.uksouth.azurecontainerapps.io/logs/get-log-by-id/660553956f4041747c7598fc,41,0,0
1712066899841,45,/logs/fetch-all-habits,200,OK,Test Thread Group 1-1,text,true,,407,394,1,1,http://logs.lemoncliff-7145084d.uksouth.azurecontainerapps.io/logs/fetch-all-habits,45,0,0
1712066899893,3932, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,2939,410,1,1,http://notifications.icywave-b4b9df4d.uksouth.azurecontainerapps.io/notifications/get-notifications,3932,0,66
1712066903829,60,/exercise/get-workouts,200,OK,Test Thread Group 1-1,text,true,,521,402,1,1,http://exercise.ambitiouscoast-3518c517.uksouth.azurecontainerapps.io/exercise/get-workouts,60,0,0
1712066903896,36,/exercise/get-workouts,200,OK,Test Thread Group 1-1,text,true,,521,402,1,1,http://exercise.ambitiouscoast-3518c517.uksouth.azurecontainerapps.io/exercise/get-workouts,36,0,0
1712066903937,37, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,2939,410,1,1,http://notifications.icywave-b4b9df4d.uksouth.azurecontainerapps.io/notifications/get-notifications,36,0,0
1712066903977,33, /logs/get-daily-log,200,OK,Test Thread Group 1-1,text,true,,623,391,1,1,http://logs.lemoncliff-7145084d.uksouth.azurecontainerapps.io/logs/get-daily-log,33,0,0
1712066904014,39, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,2939,410,1,1,http://notifications.icywave-b4b9df4d.uksouth.azurecontainerapps.io/notifications/get-notifications,39,0,0
1712066904058,3653,/dashboard/get-user-report-data,200,OK,Test Thread Group 1-1,text,true,,1496,483,1,1,http://dashboard.calmsand-d7672936.uksouth.azurecontainerapps.io/dashboard/get-user-report-data,3653,0,54
